State,Austria,Germany,France,UK,Italy,Netherlands,Sweden
Afghanistan,11906,27814,3838,9039,8991,6244,12090
Iraq,2966,41167,2991,2951,2913,14396,24184
Iran,3188,18814,2359,11510,1412,4207,4152
Turkey,1276,22242,10699,1396,2281,423,395
Pakistan,131,4331,836,5669,5764,355,305
Nigeria,346,867,1102,1469,6293,265,365
Syria,2748,40994,2882,4572,1144,8692,34285
Mali,11,34,3934,18,5552,19,23
Nigeria,346,867,1102,1469,6293,265,365
Egypt,96,355,662,349,1145,189,228
Armenia,998,1127,4063,34,225,811,573
Eritrea,101,4716,1671,11583,13357,6294,14107
Congo,448,1646,13727,1869,427,711,328
Russian,19577,4608,13644,575,174,698,2014
Serbia&Kosovo,3075,9294,12119,408,2686,277,3082
Somalia,2278,4205,1896,8509,12213,18687,21189
China,388,1530,2476,1844,98,1259,272
Stateless,658,1559,0,1072,21,2079,12476
Sri Lanka,32,4046,23966,4688,673,735,49
